USAF,Site Name,State,Latitude,Longitude,Avg hourly ETR in 2005 (Wh/m^2),Avg hourly METSTAT in 2005 (Wh/m^2),rand
722195,FULTON CO ARPT BROW,GA,33.767,-84.517,354.4932648,71.40228311,0.000377897
726835,REDMOND ROBERTS FIELD,OR,44.25,-121.167,312.3589041,51.13082192,0.00175806
725920,REDDING MUNICIPAL ARPT,CA,40.517,-122.317,328.3038813,51.15525114,0.001888371
723525,HOBART MUNICIPAL AP,OK,35,-99.05,349.9868721,59.32043379,0.002012071
725156,ELMIRA CORNING REGIONAL AP,NY,42.167,-76.9,321.3707763,70.36484018,0.00242452
724885,FALLON NAAS,NV,39.417,-118.717,332.8216895,68.98778539,0.002663537
727507,BENSON MUNI,MN,45.317,-95.65,307.6360731,60.39178082,0.003149477
722223,PENSACOLA REGIONAL AP,FL,30.483,-87.183,365.8340183,76.35776256,0.004265079
722899,CHINO AIRPORT,CA,33.967,-117.633,353.7657534,67.24874429,0.004859972
725376,DETROIT WILLOW RUN AP,MI,42.233,-83.533,321.0915525,65.70194064,0.008186439
724636,LAMAR MUNICIPAL,CO,38.067,-102.683,338.2313927,54.02328767,0.008191018
722780,PHOENIX SKY HARBOR INTL AP,AZ,33.45,-111.983,355.6294521,72.10216895,0.008535981
722516,KINGSVILLE,TX,27.5,-97.817,375.2660959,87.41552511,0.009100417
727920,OLYMPIA AIRPORT,WA,46.967,-122.9,300.2061644,62.37648402,0.010189019
722540,AUSTIN MUELLER MUNICIPAL AP [UT],TX,30.29,-97.74,366.4710046,80.93767123,0.010290029
722597,MINERAL WELLS MUNICIPAL AP,TX,32.783,-98.067,357.99121,63.68550228,0.010518888
726575,MINNEAPOLIS/CRYSTAL,MN,45.067,-93.35,308.7504566,61.85022831,0.010869824
722085,BEAUFORT MCAS,SC,32.483,-80.717,359.040411,82.22340183,0.011277144
724459,KAISER MEM (AWOS),MO,38.1,-92.55,338.0989726,63.87157534,0.011621895
724380,INDIANAPOLIS INTL AP,IN,39.717,-86.267,331.5974886,73.90525114,0.012327294
727477,ROSEAU MUNI (AWOS),MN,48.85,-95.7,291.5561644,55.92876712,0.013046729
726380,HOUGHTON LAKE ROSCOMMON CO AR,MI,44.367,-84.683,311.840411,59.87568493,0.01435502
725805,LOVELOCK DERBY FIELD,NV,40.067,-118.55,330.1682648,47.07431507,0.014557875
724640,PUEBLO MEMORIAL AP,CO,38.283,-104.5,337.3743151,52.01472603,0.015113382
723448,BATESVILLE (AWOS),AR,35.733,-91.65,347.2454338,67.92226027,0.015976093
723865,NELLIS AFB,NV,36.25,-115.033,345.2938356,65.36974886,0.01615012
727478,HALLOCK,MN,48.783,-96.95,291.8622146,56.84748858,0.01698895
726586,FAIRMONT MUNI(AWOS),MN,43.65,-94.417,314.9808219,61.11015982,0.018834437
722563,MC GREGOR (AWOS),TX,31.483,-97.317,362.4898402,63.07842466,0.019061341
722686,CLOVIS CANNON AFB,NM,34.383,-103.317,352.2603881,70.32146119,0.019106815
723656,SATA FE COUNTY MUNICIPAL AP,NM,35.617,-106.083,347.6802511,45.7283105,0.019979445
725067,BARNSTABLE MUNI BOA,MA,41.667,-70.283,323.491895,61.07625571,0.024499739
724675,EAGLE COUNTY AP,CO,39.65,-106.917,331.8692922,48.36563927,0.024909569
726185,AUGUSTA AIRPORT,ME,44.317,-69.8,312.0678082,55.3826484,0.025126492
725036,POUGHKEEPSIE DUTCHESS CO AP,NY,41.633,-73.883,323.6348174,67.68938356,0.026546969
725020,NEWARK INTERNATIONAL ARPT,NJ,40.717,-74.183,327.473516,74.64543379,0.026737368
726165,DILLANT HOPKINS,NH,42.9,-72.267,318.2293379,65.5760274,0.028863595
724767,CORTEZ/MONTEZUMA CO,CO,37.3,-108.633,341.2446347,46.018379,0.029040931
722310,NEW ORLEANS INTL ARPT,LA,30,-90.25,367.4142694,88.75468037,0.029560646
723143,SOUTHERN PINES AWOS,NC,35.233,-79.4,349.1246575,64.20456621,0.029565633
723830,SANDBERG,CA,34.75,-118.717,350.9094749,45.5543379,0.032873643
726686,PIERRE MUNICIPAL AP,SD,44.383,-100.283,311.7748858,54.62180365,0.033394567
727458,GRAND RAPIDS(AWOS),MN,47.217,-93.517,299.0666667,58.25901826,0.033402093
724014,DINWIDDIE CO,VA,37.183,-77.517,341.697032,67.62853881,0.033750789
723535,VANCE AFB,OK,36.333,-97.917,344.9734018,74.09680365,0.034560481
727720,HELENA REGIONAL AIRPORT,MT,46.6,-111.967,301.8731735,53.52020548,0.038744587
727459,ELY MUNI,MN,47.817,-91.833,296.3191781,56.89748858,0.039277473
723270,NASHVILLE INTERNATIONAL AP,TN,36.117,-86.683,345.7920091,80.35673516,0.039637521
723170,GREENSBORO PIEDMONT TRIAD INT,NC,36.1,-79.95,345.8634703,75.58858447,0.041349063
722555,PALACIOS MUNICIPAL AP,TX,28.717,-96.25,371.5179224,60.27180365,0.042082495
722650,MIDLAND INTERNATIONAL AP,TX,31.95,-102.183,360.8857306,55.26609589,0.042151814
722280,BIRMINGHAM MUNICIPAL AP,AL,33.567,-86.75,355.2100457,78.93858447,0.047727743
747685,GULFPORT BILOXI INT,MS,30.4,-89.067,366.1060502,75.66392694,0.048253606
727938,TACOMA NARROWS,WA,47.267,-122.583,298.8430365,60.56187215,0.048996516
722055,OCALA MUNI (AWOS),FL,29.167,-82.217,370.1057078,78.106621,0.051322673
723013,WILMINGTON INTERNATIONAL ARPT,NC,34.267,-77.9,352.6793379,71.46598174,0.05237258
725117,WASHINGTON (AWOS),PA,40.133,-80.283,329.8860731,72.03344749,0.054457487
725118,HARRISBURG CAPITAL CITY ARPT,PA,40.217,-76.85,329.5393836,67.8326484,0.060354353
727855,FAIRCHILD AFB,WA,47.633,-117.65,297.1667808,65.68287671,0.061327036
724755,CEDAR CITY MUNICIPAL AP,UT,37.7,-113.1,339.6751142,48.13869863,0.062535972
723740,WINSLOW MUNICIPAL AP,AZ,35.033,-110.717,349.8628995,44.62043379,0.065240885
726988,THE DALLES MUNICIPAL ARPT,WA,45.617,-121.15,306.2949772,51.57203196,0.0668585
723100,COLUMBIA METRO ARPT,SC,33.95,-81.117,353.8328767,80.66278539,0.067321498
722970,LONG BEACH DAUGHERTY FLD,CA,33.833,-118.167,354.2538813,71.14121005,0.067869777
723747,SHOW LOW MUNICIPAL,AZ,34.267,-110,352.6792237,49.42340183,0.069626062
725477,DENISON,IA,41.983,-95.383,322.1534247,62.54703196,0.071963087
724940,SAN FRANCISCO INTL AP,CA,37.617,-122.4,339.998516,76.07385845,0.072495561
722025,FORT LAUDERDALE HOLLYWOOD INT,FL,26.067,-80.15,379.4905251,92.79531963,0.076484027
725515,BEATRICE MUNICIPAL,NE,40.3,-96.75,329.2019406,62.20525114,0.076810885
725474,CRESTON,IA,41.017,-94.367,326.2293379,64.90673516,0.077878249
725336,DELAWARE CO JOHNSON,IN,40.233,-85.4,329.4780822,68.12009132,0.07805075
724645,TRINIDAD LAS ANIMAS COUNTY AP,CO,37.267,-104.333,341.3711187,46.20753425,0.078743825
725500,OMAHA EPPLEY AIRFIELD,NE,41.317,-95.9,324.9674658,65.39429224,0.078791984
725025,TETERBORO AIRPORT,NJ,40.85,-74.067,326.9234018,69.3053653,0.080338555
724490,ST JOSEPH ROSECRANS MEMORIAL,MO,39.767,-94.9,331.3900685,62.92328767,0.0825577
727415,RHINELANDER ONEIDA,WI,45.633,-89.467,306.2251142,56.53515982,0.083003951
722267,TROY AF,AL,31.867,-86.017,361.1761416,81.45513699,0.083893912
722406,HOUMA-TERREBONNE,LA,29.567,-90.667,368.8170091,89.0966895,0.08455175
690230,WHIDBEY ISLAND NAS,WA,48.35,-122.667,293.8651826,72.79988584,0.086713176
725556,AINSWORTH MUNICIPAL,NE,42.583,-100,319.5947489,52.31689498,0.086987826
726574,MARSHFIELD MUNI,WI,44.633,-90.183,310.6727169,61.28858447,0.088657098
726464,WATERTOWN,WI,43.167,-88.717,317.0780822,63.25422374,0.089167192
725340,CHICAGO MIDWAY AP,IL,41.783,-87.75,323.0039954,75.95388128,0.090485585
725865,HAILEY/FRIEDMAN MEM,ID,43.5,-114.3,315.6381279,63.893379,0.091154756
726458,STURGEON BAY,WI,44.85,-87.417,309.7125571,55.5260274,0.091313139
723630,AMARILLO INTERNATIONAL AP [CANYON - UT],TX,34.99,-101.9,350.0208904,70.73436073,0.094624394
724556,EMPORIA MUNICIPAL AP,KS,38.333,-96.183,337.173516,60.03413242,0.09551445
723120,GREER GREENV'L-SPARTANBRG AP,SC,34.9,-82.217,350.3571918,69.28652968,0.095592449
722429,HOUSTON/D.W. HOOKS,TX,30.067,-95.55,367.1978311,74.94771689,0.098067396
727815,STAMPEDE PASS,WA,47.283,-121.333,298.765411,53.16598174,0.099562494
726565,MORRIS MUNI (AWOS),MN,45.567,-95.967,306.5222603,59.7347032,0.100286195
723663,TAOS MUNI APT(AWOS),NM,36.45,-105.667,344.5245434,44.85376712,0.100822643
727730,MISSOULA INTERNATIONAL AP,MT,46.917,-114.1,300.4368721,52.79372146,0.106321603
747900,SUMTER SHAW AFB,SC,33.967,-80.467,353.7714612,83.59520548,0.106442409
726785,BUTTE BERT MOONEY ARPT,MT,45.95,-112.5,304.8041096,54.36267123,0.106508747
725290,ROCHESTER GREATER ROCHESTER I,NY,43.117,-77.683,317.2984018,69.91917808,0.107010007
725976,LAKEVIEW (AWOS),OR,42.167,-120.4,321.3737443,51.21061644,0.108477837
722230,MOBILE REGIONAL AP,AL,30.683,-88.25,365.1700913,84.34417808,0.108527457
725465,OTTUMWA INDUSTRIAL AP,IA,41.1,-92.45,325.8771689,62.87009132,0.108547508
722045,VERO BEACH MUNICIPAL ARPT,FL,27.65,-80.417,374.8158676,81.1586758,0.109608766
722587,COX FLD,TX,33.633,-95.45,354.9738584,59.94783105,0.110445307
722340,MERIDIAN KEY FIELD,MS,32.333,-88.75,359.563242,73.19771689,0.115888216
725103,READING SPAATZ FIELD,PA,40.367,-75.967,328.9239726,68.70456621,0.116342335
724110,ROANOKE REGIONAL AP,VA,37.317,-79.967,341.1765982,79.20490868,0.116411239
725475,MONTICELLO MUNI,IA,42.233,-91.167,321.0874429,66.22431507,0.116777631
745700,DAYTON WRIGHT PATTERSON AFB,OH,39.833,-84.05,331.1160959,78.43139269,0.118535149
724565,TOPEKA FORBES FIELD,KS,38.95,-95.667,334.7083333,62.91712329,0.119277915
724120,BECKLEY RALEIGH CO MEM AP,WV,37.8,-81.117,339.2836758,69.92625571,0.120011509
747020,LEMOORE REEVES NAS,CA,36.333,-119.95,344.9754566,68.47945205,0.120201891
722544,CAMP MABRY,TX,30.317,-97.767,366.3802511,65.62614155,0.120852047
723447,FLIPPIN (AWOS),AR,36.3,-92.467,345.0956621,68.44440639,0.1208687
722250,FORT BENNING LAWSON,GA,32.35,-85,359.508105,86.95673516,0.121523901
727976,BELLINGHAM INTL AP,WA,48.8,-122.533,291.785274,57.7173516,0.123388513
727437,IRON MOUNTAIN/FORD,MI,45.817,-88.117,305.3994292,58.41495434,0.123917114
726917,NORTH BEND MUNI AIRPORT,OR,43.417,-124.25,315.9976027,58.98458904,0.124269039
723896,VISALIA MUNI (AWOS),CA,36.317,-119.4,345.0336758,53.39703196,0.124391742
727827,MOSES LAKE GRANT COUNTY AP,WA,47.2,-119.317,299.1434932,47.95205479,0.125262603
723440,FORT SMITH REGIONAL AP,AR,35.333,-94.367,348.7479452,65.34006849,0.125997164
747880,MACDILL AFB,FL,27.85,-82.517,374.2063927,89.28835616,0.126502473
725479,CLARINDA,IA,40.717,-95.033,327.4791096,62.24657534,0.127527506
722316,NEW ORLEANS ALVIN CALLENDER F,LA,29.817,-90.017,368.0166667,87.75251142,0.130338008
724880,RENO TAHOE INTERNATIONAL AP,NV,39.483,-119.767,332.5495434,65.20308219,0.130649957
726884,LA GRANDE MUNI AP,OR,45.283,-118,307.7885845,53.67716895,0.130952185
722103,ST LUCIE CO INTL,FL,27.483,-80.367,375.3163242,85.82671233,0.13141104
724026,MELFA/ACCOMACK ARPT,VA,37.65,-75.767,339.8703196,66.7989726,0.13155818
